@id,@lon,@lat,name
309957209,21.4784999,42.0039616,
360863415,21.1221449,42.1461251,Макпетрол
364055426,21.3714984,42.0099438,Лукоил
364055448,21.3764452,42.0062634,
364055506,21.3995889,42.0152200,
364055517,21.4046604,42.0143640,
366295522,21.4040159,42.0323288,
367045844,21.3171341,41.9927745,
367158249,21.3342195,42.0071521,
369776669,21.4542071,41.9746802,Супертрејд
373125597,22.0053060,41.4444801,Макпетрол
379742444,22.0036985,41.4350263,Макпетрол
380876388,22.0059941,41.4435249,Црна Река
386798338,22.0792997,41.4832253,Jeddoil
386801764,22.0987911,41.4988918,Макпетрол
388478484,21.0862626,42.0085265,
393719908,22.4678429,41.3326694,
393722068,22.5571884,41.3151304,Макпетрол
410338883,21.4505449,41.9959759,
411561740,21.3440160,41.0789089,
413525684,21.4439612,41.9902778,
413526053,21.4438581,41.9901940,
414190407,21.3525057,41.2793630,
418321432,21.4604863,42.0019657,
420483029,21.8335262,41.6848902,Макпетрол
427010716,22.0237551,41.4517865,
428509568,21.4668882,41.9782610,
429687753,21.3474978,41.0401275,Макпетрол
429695538,21.3202763,41.0212187,
442567988,22.4118271,41.9137908,Макпетрол
442926552,22.3725547,41.8998568,
442926553,22.3726235,41.8995959,
442926554,22.3730438,41.8996575,
442926555,22.3729641,41.8999328,
442926556,22.4022535,41.9044882,Макпетрол
442926557,22.4279142,41.9139729,Макпетрол
442926565,22.3030892,41.8642740,
442926573,22.2354096,41.8325769,Ваго Петрол
462175891,22.6425700,41.4470394,Макпетрол
464772763,21.7306025,42.1535370,Сателит 2000
464772765,22.3209044,42.1962775,Макпетрол
473718332,22.3249713,42.1999934,Макпетрол
474050015,21.4714115,41.9669829,
477689649,22.0805707,41.4838189,Okta
484793988,21.4890386,42.0034356,
488853494,22.1637549,42.1704792,Krater
488854010,22.3437876,42.2104539,Moderna
495555334,20.7340254,41.1668745,7 Браќа
504016147,21.5705814,41.9996401,Макпетрол
507757439,21.6559953,41.9046365,Окта
534923616,22.4452648,41.3401667,Макпетрол
567609344,22.0780574,41.4833392,
570694038,20.6760443,41.1824048,Макпетрол
889071682,21.0230981,41.0829009,Макпетрол
889071691,21.0114216,41.0979585,Макпетрол
1021547384,21.3478549,41.0371043,Окта
1088102593,22.3311584,41.8813405,
1272903077,22.5101443,41.8877206,Dadi Kompani
1357097237,21.3507382,42.0244681,Макпетрол
1381708720,21.4304245,42.0177183,Макпетрол
1424432067,21.7001437,42.0773617,Макпетрол
1424432082,21.6996066,42.1057063,Shell
1424432087,21.7085282,42.1740192,Детоил
1424432093,21.7079220,42.1778758,
1424432102,21.7020309,42.2063787,
1655754563,21.2893708,41.0459269,
1682245581,21.2896537,41.0457450,
1682245590,21.2895615,41.0458130,
1682245595,21.2896011,41.0458458,
1682245600,21.2894539,41.0458686,
1682245606,21.2897953,41.0458732,
1682245609,21.2896483,41.0458985,
1682245616,21.2895049,41.0459084,
1682245619,21.2896974,41.0459412,
1682245632,21.2895558,41.0459668,
1682245639,21.2896030,41.0460124,
1682245640,21.2895237,41.0460622,
1710036935,21.7876414,41.7219256,Лукоил
1710036940,21.7870314,41.7235039,Макпетрол
1710442415,21.7875277,41.7218897,
1710442427,21.7875317,41.7217626,
1710583181,21.7628783,41.7174030,Брако Петрол
1747837188,21.4607311,42.0020184,
1747837190,21.4606904,42.0021229,
1747837194,21.4604456,42.0020703,
1776036318,21.7127502,42.1332142,
1776036319,21.7136353,42.1329895,
1776036320,21.7128065,42.1332222,
1776036321,21.7128172,42.1330432,
1776036332,21.7127153,42.1330989,
1776036333,21.7127582,42.1330651,
1776036335,21.7126939,42.1331466,
1776036337,21.7127073,42.1331824,
1776036339,21.7133805,42.1331566,
1776036341,21.7136541,42.1331068,
1776036343,21.7129058,42.1332202,
1776036345,21.7131311,42.1331983,
1790311343,22.8000361,41.3796492,
1790711183,22.8760731,41.4150648,Макпетрол
1791447792,22.7649442,41.4370390,
1791481240,22.6547526,41.4395156,Макпетрол
1791481243,22.6508055,41.4392709,МаријаТрејд
1791481252,22.6659707,41.4404814,Лукоил
1791481255,22.7304000,41.4120197,Макпетрол
1791481262,22.7050143,41.4404486,Национал
1791481263,22.6542913,41.4399258,Макпетрол
