@id,@lon,@lat,name
1001767238,20.8988067,41.7965974,
1775577608,21.7249651,42.1297332,
3637336299,21.3925657,41.9983592,
3637336300,21.3922143,41.9987363,
3637336406,21.3925502,41.9982434,
3637336408,21.3925085,41.9982932,
3637336409,21.3925179,41.9983628,
3637336601,21.3924992,41.9982236,
3637336602,21.3920166,41.9988164,
3637336898,21.3925023,41.9982469,
3637336899,21.3925564,41.9982896,
3637336900,21.3925626,41.9983361,
3637336902,21.3922109,41.9986602,
3637336903,21.3921861,41.9986801,
3637337704,21.3925148,41.9983397,
3637337996,21.3925471,41.9982200,
3637337997,21.3925116,41.9983163,
3637337999,21.3921370,41.9987196,
3637338000,21.3921654,41.9987756,
3637338308,21.3922390,41.9987164,
3637338309,21.3921399,41.9987961,
3637338396,21.3922638,41.9986965,
3637338397,21.3921164,41.9988150,
3637338602,21.3925533,41.9982668,
3637338603,21.3925055,41.9982703,
3637338607,21.3921899,41.9987559,
3637338608,21.3920870,41.9987598,
3637338609,21.3920635,41.9987787,
3637338610,21.3920398,41.9987978,
3637338612,21.3920694,41.9988528,
3637338798,21.3920927,41.9988341,
3637342799,21.3925595,41.9983128,
3637342800,21.3922356,41.9986403,
3637342801,21.3922885,41.9986766,
3637342802,21.3921125,41.9987393,
3637352493,21.3921614,41.9986999,
3650810436,21.4028856,42.0090462,
3650810531,21.4028966,42.0091738,
3650810637,21.4028893,42.0090898,
3650852026,21.4030126,42.0089979,
3650852027,21.4028819,42.0090042,
3650852028,21.4028930,42.0091319,
3650852030,21.4030273,42.0091676,
3650852127,21.4030163,42.0090400,
3650852128,21.4029002,42.0092159,
3650852129,21.4029039,42.0092579,
3650902529,21.4030237,42.0091257,
3650903726,21.4030201,42.0090836,
3650903830,21.4030346,42.0092517,
3650904025,21.4030310,42.0092096,
4005785912,21.7249847,42.1294639,
4005785913,21.7248694,42.1295713,
4005785914,21.7250303,42.1296777,
4005785915,21.7248935,42.1297941,
4005785916,21.7246843,42.1296578,
4005785917,21.7249431,42.1294390,
4433162361,22.1759054,41.7551851,
4433162362,22.1761311,41.7550157,
4433162363,22.1755269,41.7545679,
4433162364,22.1753012,41.7547374,
4433944818,22.1817630,41.7482755,
4433944819,22.1818479,41.7481891,
4433944820,22.1823128,41.7484212,
4433944821,22.1822174,41.7484998,
4433960969,22.1857939,41.7473950,
4433960970,22.1857643,41.7475434,
4433960971,22.1858199,41.7472643,
4433960972,22.1863624,41.7473245,
4433960973,22.1863069,41.7476035,
4433969771,22.1757984,41.7560177,
4433969772,22.1760692,41.7558080,
4433969773,22.1757772,41.7555982,
4433969774,22.1755064,41.7558079,
4433988149,22.1609243,41.7608579,
4433988150,22.1611321,41.7608161,
4433988151,22.1610807,41.7606611,
4433988152,22.1612628,41.7606175,
4433988153,22.1612161,41.7604991,
4433988154,22.1608636,41.7605618,
5761413842,20.9122166,41.7896811,
5761413843,20.9122688,41.7894944,
5761413844,20.9125166,41.7895080,
5761413845,20.9124827,41.7896092,
5761413846,20.9127254,41.7894944,
5761413847,20.9127958,41.7892804,
5761413848,20.9129732,41.7893349,
5761413849,20.9129132,41.7894438,
5761413850,20.9131636,41.7893330,
5761413851,20.9132941,41.7890237,
5761413852,20.9134897,41.7890665,
5761413853,20.9133828,41.7892902,
5761413854,20.9128295,41.7894664,
5761413857,20.9124415,41.7896203,
5761413863,20.9140533,41.7889945,
5761413864,20.9144133,41.7890742,
5761413865,20.9146403,41.7890392,
5761413866,20.9146533,41.7889556,
5761413867,20.9141211,41.7888467,
5761413872,20.8988785,41.7968201,
5761413873,20.8987327,41.7967185,
5761413874,20.8989933,41.7967147,
5761413877,20.9002446,41.7939370,
5761413878,20.9004505,41.7939452,
5761413879,20.9004632,41.7937516,
5761413880,20.9002494,41.7937551,
6352075472,22.1896910,41.7360218,
6352075473,22.1897510,41.7360141,
6352075474,22.1897555,41.7360337,
6352075475,22.1896955,41.7360414,
6352075476,22.1897644,41.7360112,
6352075477,22.1898244,41.7360035,
6352075478,22.1898290,41.7360232,
6352075479,22.1897690,41.7360309,
6352075480,22.1898362,41.7360015,
6352075481,22.1898962,41.7359938,
6352075482,22.1899007,41.7360134,
6352075483,22.1898407,41.7360211,
6352075484,22.1896223,41.7360323,
6352077485,22.1896821,41.7360240,
6352077486,22.1896870,41.7360436,
6352077487,22.1896272,41.7360520,
6352077488,22.1895485,41.7360403,
6352077489,22.1896091,41.7360356,
6352077490,22.1896118,41.7360555,
6352077491,22.1895512,41.7360601,
6352077492,22.1893279,41.7360433,
6352077493,22.1893888,41.7360428,
6352077494,22.1893890,41.7360628,
6352077495,22.1893281,41.7360632,
6352077496,22.1894721,41.7360425,
6352077497,22.1895330,41.7360420,
6352077498,22.1895333,41.7360620,
6352077499,22.1894724,41.7360624,
6352077500,22.1893977,41.7360450,
6352077501,22.1894586,41.7360445,
6352077502,22.1894588,41.7360645,
6352077503,22.1893979,41.7360649,
6352077504,22.1892562,41.7360408,
6352077505,22.1893169,41.7360448,
6352077506,22.1893146,41.7360646,
6352077507,22.1892539,41.7360607,
6352077508,22.1891818,41.7360343,
6352077509,22.1892425,41.7360383,
6352077510,22.1892402,41.7360581,
6352077511,22.1891795,41.7360542,
6352077512,22.1891047,41.7360278,
6352077513,22.1891654,41.7360318,
6352077514,22.1891631,41.7360516,
6352077515,22.1891024,41.7360477,
6352077516,22.1890349,41.7360213,
6352077517,22.1890956,41.7360252,
6352077518,22.1890933,41.7360451,
6352077519,22.1890326,41.7360412,
6352077520,22.1889659,41.7360133,
6352077521,22.1890265,41.7360172,
6352077522,22.1890242,41.7360371,
6352077523,22.1889636,41.7360332,
6352077524,22.1888899,41.7359962,
6352077525,22.1889497,41.7360047,
6352077526,22.1889447,41.7360242,
6352077527,22.1888849,41.7360158,
6352077528,22.1888275,41.7359847,
6352077529,22.1888873,41.7359931,
6352077530,22.1888823,41.7360127,
6352077531,22.1888225,41.7360043,
6352077532,22.1887598,41.7359732,
6352077533,22.1888196,41.7359816,
6352077534,22.1888146,41.7360012,
6352077535,22.1887548,41.7359927,
6352077536,22.1899024,41.7359936,
6352077537,22.1899624,41.7359859,
6352077538,22.1899669,41.7360056,
6352077539,22.1899069,41.7360133,
6352077540,22.1899678,41.7359843,
6352077541,22.1900278,41.7359766,
6352077542,22.1900324,41.7359963,
6352077543,22.1899724,41.7360040,
6352077544,22.1900386,41.7359742,
6352077545,22.1900986,41.7359665,
